Index;Fuel type;Body type;Engine;Gearbox;Doors;Seats;Emission;Service history
252;Petrol Plug-in Hybrid;Saloon;2.0L;Automatic;4;5;Euro 6;Null
253;Petrol;Convertible;1.3L;Manual;2;;Null;
254;Petrol;Hatchback;1.4L;Manual;3;4;Euro 5;Null
255;Petrol;Hatchback;1.4L;Manual;3;4;Euro 4;Null
256;Petrol;Hatchback;1.2L;Manual;5;5;Euro 4;Null
257;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
258;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
259;Diesel;Hatchback;2.2L;Manual;5;5;Euro 5;Null
260;Diesel;Estate;2.0L;Manual;5;5;Euro 5;Null
261;Petrol;Coupe;2.2L;Manual;2;5;Euro 3;Null
262;Petrol;MPV;1.4L;Manual;5;5;Euro 5;Null
263;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
264;Petrol Plug-in Hybrid;Saloon;2.0L;Automatic;4;5;Euro 6;Null
266;Diesel;Hatchback;1.5L;Manual;5;5;Euro 6;Null
267;Petrol;Hatchback;1.8L;Manual;5;5;Euro 4;Null
268;Petrol;Saloon;2.2L;Manual;4;5;Euro 3;Null
269;Diesel;MPV;1.8L;Automatic;5;5;Euro 5;Null
270;Petrol;SUV;1.6L;Manual;5;5;Euro 5;Null
271;Petrol;MPV;1.8L;Manual;5;5;Euro 3;Null
272;Diesel;Coupe;2.1L;Manual;2;4;Euro 5;Null
273;Petrol;Hatchback;1.2L;Manual;3;4;Euro 4;Null
274;Petrol;Hatchback;1.2L;Manual;5;5;Euro 4;Null
275;Petrol;Hatchback;1.2L;Automatic;5;5;Euro 5;Null
276;Petrol;Estate;1.6L;Manual;5;5;Euro 5;Null
277;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
278;Diesel;Hatchback;1.5L;Manual;5;5;Euro 6;Null
280;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
281;Petrol;Hatchback;1.6L;Automatic;3;4;Euro 4;Null
282;Petrol;Saloon;1.8L;Automatic;4;5;Euro 4;Null
283;Petrol;Saloon;2.0L;Manual;4;5;Euro 3;Full
284;Petrol;Hatchback;1.0L;Manual;5;5;Euro 4;Null
285;Petrol;Hatchback;1.4L;Manual;3;4;Euro 4;Null
286;Petrol;Hatchback;1.8L;Manual;5;5;Euro 4;Null
287;Petrol Hybrid;Saloon;1.3L;Manual;4;5;Euro 4;Null
288;Petrol;Hatchback;1.8L;Automatic;5;5;Euro 4;Full
289;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
290;Petrol;Hatchback;1.6L;Manual;3;5;Euro 4;Null
291;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
292;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
294;Diesel;Estate;1.6L;Manual;5;5;Euro 6;Null
295;Petrol;Hatchback;1.0L;Manual;5;5;Euro 5;Null
296;Petrol;MPV;1.4L;Manual;5;7;Euro 5;Null
297;Petrol;Saloon;2.0L;Automatic;4;5;Euro 2;Null
298;Diesel;Saloon;2.1L;Automatic;4;5;Euro 5;Null
299;Petrol;Hatchback;1.3L;Manual;5;5;Euro 5;Null
300;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
301;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
302;Diesel;MPV;2.0L;Manual;5;5;Euro 4;Null
303;Petrol;Saloon;1.8L;Automatic;4;5;Euro 4;Null
304;Petrol;Convertible;2.0L;Manual;2;4;Euro 5;Null
305;Petrol;Hatchback;1.8L;Manual;5;5;Euro 5;Null
306;Petrol Plug-in Hybrid;Saloon;2.0L;Automatic;4;5;Euro 6;Null
308;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
309;Petrol;Hatchback;1.4L;Automatic;5;5;Euro 5;Null
310;Petrol;SUV;1.6L;Manual;5;5;Euro 5;Null
311;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
312;Petrol;Hatchback;1.6L;Manual;3;4;Euro 5;Full
313;Petrol;Hatchback;1.3L;Manual;3;4;Euro 3;Null
314;Petrol;Hatchback;1.6L;Automatic;5;5;Euro 5;Null
315;Petrol;Hatchback;1.6L;Automatic;5;5;Euro 4;Null
316;Petrol;Hatchback;1.2L;Manual;5;5;Euro 4;Full
317;Petrol;Saloon;1.8L;Automatic;4;5;Euro 4;Null
318;Petrol;Convertible;2.0L;Manual;2;4;Euro 4;Null
319;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Null
320;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
322;Petrol;Hatchback;1.5L;Manual;3;4;Euro 6;Null
323;Petrol;Saloon;2.0L;Automatic;4;5;Euro 6;Full
324;Petrol;Hatchback;1.4L;Manual;3;4;Euro 4;Null
325;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
326;Petrol;Saloon;3.0L;Automatic;4;5;Euro 2;Null
327;Diesel;SUV;2.0L;Manual;5;5;Euro 2;Null
328;Petrol;Hatchback;1.4L;Manual;3;5;Euro 4;Null
329;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
330;Petrol;Hatchback;1.6L;Manual;3;5;Euro 4;Full
331;Petrol;Hatchback;1.2L;Manual;3;4;Euro 4;Null
332;Petrol;Hatchback;1.4L;Manual;5;5;Euro 5;Null
333;Diesel;Hatchback;1.6L;Manual;5;5;Euro 4;Null
334;Petrol;Hatchback;1.5L;Manual;3;4;Euro 6;Null
336;Petrol;Hatchback;1.2L;Manual;5;5;Euro 6;Null
337;Petrol;Hatchback;1.6L;Automatic;5;5;Euro 5;Null
338;Petrol;Hatchback;1.6L;Manual;5;5;Euro 5;Null
339;Petrol;Hatchback;1.2L;Manual;5;5;Euro 4;Null
340;Petrol;Hatchback;1.3L;Manual;5;5;Euro 4;Null
341;Petrol;Hatchback;1.2L;Manual;3;5;Euro 4;Null
342;Petrol;Hatchback;1.8L;Automatic;5;5;Euro 3;Null
343;Petrol;Saloon;2.5L;Automatic;4;5;Euro 5;Null
344;Petrol;Hatchback;1.2L;Manual;3;4;Euro 5;Null
345;Petrol;Saloon;1.4L;Manual;4;5;Euro 4;Null
346;Diesel;Saloon;2.0L;Automatic;4;5;Euro 4;Null
347;Petrol;Hatchback;1.2L;Manual;3;5;Euro 5;Null
348;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
350;Diesel;Estate;1.6L;Manual;5;5;Euro 6;Null
351;Petrol;Hatchback;1.2L;Manual;5;5;Euro 4;Null
352;Petrol;Estate;1.8L;Automatic;5;5;Euro 5;Null
353;Diesel;Saloon;2.0L;Manual;4;5;Euro 5;Null
354;Petrol;Saloon;2.0L;Manual;4;5;Euro 4;Null
355;Diesel;Saloon;2.1L;Automatic;4;5;Euro 5;Null
356;Petrol;Hatchback;1.6L;Manual;4;4;Euro 5;Null
357;Petrol;Hatchback;1.6L;Manual;5;5;Euro 4;Null
358;Diesel;Saloon;2.1L;Automatic;4;5;Euro 4;Null
359;Petrol;Hatchback;1.4L;Manual;5;5;Euro 4;Null
360;Diesel;MPV;1.5L;Manual;5;7;Euro 5;Null
361;Diesel;Hatchback;1.6L;Manual;5;5;Euro 4;Null
362;Petrol Plug-in Hybrid;Saloon;2.0L;Automatic;4;5;Euro 6;Null
364;Diesel;Hatchback;1.6L;Manual;5;5;Euro 6;Null
365;Petrol;Hatchback;2.8L;Automatic;5;5;Euro 4;Null
366;Petrol;Hatchback;1.6L;Manual;3;5;Euro 4;Null
367;Petrol;Hatchback;1.6L;Manual;3;5;Euro 4;Null
368;Petrol;Hatchback;1.2L;Manual;5;5;Euro 4;Null
369;Petrol;Hatchback;1.2L;Manual;3;5;Euro 4;Null
370;Petrol;Hatchback;1.4L;Manual;3;5;Euro 4;Null
